group,id,year,value,coverage,long,lat,alt,x,y,logmax,mean,PM2.5mean,popdensity,Temperature,Precipitation,Vapour Pressure,logmean,Ts,Ps,longs,lats,alts,pds,VPs
ES0001R_2017,ES0001R,2017,90.75,98.9,-4.3506,39.5469,917,383952.7681,4378340.473,4.508108473,12.361,5.603,25.63192933,15.46666667,23.75,11.025,2.514546355,0.197417765,-1.17920785,-0.277805829,-0.754591402,1.821767124,-0.809560203,-0.288029246
ES0001R_2018,ES0001R,2018,91.333,98.9,-4.3506,39.5469,917,383952.7681,4378340.473,4.514512168,11.929,5.891,25.59354668,14.9,48.625,11.14166667,2.47897241,-0.06120406,-0.407227001,-0.277805829,-0.754591402,1.821767124,-0.809729326,-0.218084091
ES0001R_2019,ES0001R,2019,44.958,95.07,-4.3506,39.5469,917,383952.7681,4378340.473,3.805728721,10.499,6.103,25.67509407,15.175,27.91666667,10.95,2.351280015,0.06430359,-1.049897825,-0.277805829,-0.754591402,1.821767124,-0.809370009,-0.332993987
ES0001R_2020,ES0001R,2020,206.667,85.25,-4.3506,39.5469,917,383952.7681,4378340.473,5.331108802,11.599,5.769,25.76180109,15.44166667,35.59166667,11.11666667,2.450918887,0.186007979,-0.811708759,-0.277805829,-0.754591402,1.821767124,-0.808987957,-0.233072338
ES0005R_2017,ES0005R,2017,244,72.88,-8.9236,42.7206,685,14926.17307,4746831.918,5.497168225,8.548,NA,91.52228309,14.86666667,103.325,12.09166667,2.145697337,-0.076417107,1.290355006,-1.819350508,0.77890674,1.100764165,-0.519231264,0.351469298
ES0005R_2018,ES0005R,2018,48.167,79.73,-8.9236,42.7206,685,14926.17307,4746831.918,3.874674139,8.175,NA,91.35727328,14.375,164.9583333,12.13333333,2.101080717,-0.300809573,3.203108894,-1.819350508,0.77890674,1.100764165,-0.519958338,0.376449705
ES0005R_2019,ES0005R,2019,31.875,80.27,-8.9236,42.7206,685,14926.17307,4746831.918,3.461822003,6.585,NA,91.3478055,14.58333333,153.0333333,11.975,1.884794335,-0.205728022,2.833023602,-1.819350508,0.77890674,1.100764165,-0.520000055,0.281524143
ES0005R_2020,ES0005R,2020,43.958,77.6,-8.9236,42.7206,685,14926.17307,4746831.918,3.783234633,7.115,NA,91.28727937,15.00833333,141.5916667,12.10833333,1.962205232,-0.011761654,2.477938276,-1.819350508,0.77890674,1.100764165,-0.520266748,0.361461458
ES0007R_2017,ES0007R,2017,164.083,96.44,-3.5342,37.2372,1230,452616.8532,4121319.931,5.100372397,14.184,10.369,96.36453225,15.84166667,27.925,10.98333333,2.652114569,0.36856456,-1.049639205,-0.002599821,-1.870613917,2.794499565,-0.497895136,-0.31300966
ES0007R_2018,ES0007R,2018,73.625,94.52,-3.5342,37.2372,1230,452616.8532,4121319.931,4.298984642,14.713,10.923,96.47006921,15.125,42.64166667,10.89166667,2.688731457,0.041484017,-0.592916197,-0.002599821,-1.870613917,2.794499565,-0.497430114,-0.367966562
ES0007R_2019,ES0007R,2019,63.125,87.4,-3.5342,37.2372,1230,452616.8532,4121319.931,4.145116888,15.881,9.702,96.85955906,15.475,27.49166667,10.8,2.765123426,0.201221026,-1.063087447,-0.002599821,-1.870613917,2.794499565,-0.495713927,-0.42292347
ES0007R_2020,ES0007R,2020,66.875,79.78,-3.5342,37.2372,1230,452616.8532,4121319.931,4.202825205,13.778,6.739,97.28823853,15.63333333,28.79166667,11.26666667,2.623073117,0.273483004,-1.022742719,-0.002599821,-1.870613917,2.794499565,-0.493825061,-0.143142856
ES0008R_2017,ES0008R,2017,69.625,96.71,-4.85,43.4392,134,350286.5398,4811251.291,4.243123698,15.004,6.701,97.22368917,11.44166667,72,9.75,2.708316832,-1.639557834,0.318202239,-0.446152081,1.12612663,-0.611617863,-0.494109481,-1.052429847
ES0008R_2018,ES0008R,2018,54.292,99.45,-4.85,43.4392,134,350286.5398,4811251.291,3.994376886,14.474,6.533,96.65314975,11.24166667,102.4333333,9.858333333,2.672353936,-1.730836125,1.26268266,-0.446152081,1.12612663,-0.611617863,-0.496623417,-0.987480776
ES0008R_2019,ES0008R,2019,100.958,67.4,-4.85,43.4392,134,350286.5398,4811251.291,4.614704589,14.749,6.579,96.24198416,11.34166667,95.58333333,9.533333333,2.691175284,-1.68519698,1.05009698,-0.446152081,1.12612663,-0.611617863,-0.498435112,-1.182327988
ES0008R_2020,ES0008R,2020,80.5,84.97,-4.85,43.4392,134,350286.5398,4811251.291,4.388257184,16.543,6.512,95.80252735,11.70833333,86.55833333,9.775,2.805963052,-1.51785345,0.770011466,-0.446152081,1.12612663,-0.611617863,-0.500371466,-1.037441599
ES0009R_2017,ES0009R,2017,124.5,97.81,-3.1425,41.2742,1360,488065.3343,4569206.38,4.824305716,9.062,3.766,25.63192933,11.44166667,38.63333333,8.55,2.204089846,-1.639557834,-0.717312441,0.129441083,0.080021618,3.198509843,-0.809560203,-1.771865706
ES0009R_2018,ES0009R,2018,70.292,95.07,-3.1425,41.2742,1360,488065.3343,4569206.38,4.252657994,8.334,4.582,25.59354668,11.225,74.44166667,8.65,2.120343533,-1.738442651,0.393977914,0.129441083,0.080021618,3.198509843,-0.809729326,-1.711912718
ES0009R_2019,ES0009R,2019,36.167,93.42,-3.1425,41.2742,1360,488065.3343,4569206.38,3.588147101,7.877,4.242,25.67509407,11.38333333,50.725,8.45,2.063947121,-1.666180672,-0.342054748,0.129441083,0.080021618,3.198509843,-0.809370009,-1.831818694
ES0009R_2020,ES0009R,2020,87.208,83.33,-3.1425,41.2742,1360,488065.3343,4569206.38,4.46829607,8.329,4.373,25.76180109,11.63333333,57.775,8.591666667,2.119743401,-1.552082809,-0.123262186,0.129441083,0.080021618,3.198509843,-0.808987957,-1.746885294
ES0010R_2017,ES0010R,2017,46,94.52,3.3158,42.3192,76,1020536.136,4704574.601,3.828641396,15.82,7.553,232.4531357,15.91666667,39.14166667,12.41666667,2.761274962,0.402793919,-0.701536618,2.306514776,0.584954522,-0.791868603,0.10174438,0.54631651
ES0010R_2018,ES0010R,2018,82.917,93.15,3.3158,42.3192,76,1020536.136,4704574.601,4.417840107,16.127,8.877,234.4015071,16.375,75.19166667,12.55,2.780494886,0.611973333,0.417253718,2.306514776,0.584954522,-0.791868603,0.110329379,0.626253825
ES0010R_2019,ES0010R,2019,90.25,94.79,3.3158,42.3192,76,1020536.136,4704574.601,4.502583597,15.868,7.389,236.9493056,16.20833333,56.14166667,12.325,2.764304503,0.53590809,-0.173951716,2.306514776,0.584954522,-0.791868603,0.1215556,0.491359602
ES0010R_2020,ES0010R,2020,61.083,83.61,3.3158,42.3192,76,1020536.136,4704574.601,4.112233595,15.012,7.047,238.5813041,16.36666667,51.55833333,12.48333333,2.708849881,0.608170073,-0.316192744,2.306514776,0.584954522,-0.791868603,0.128746582,0.586285164
ES0011R_2017,ES0011R,2017,112.75,92.05,-6.9236,38.4728,393,157680.8446,4265573.795,4.725172978,17.205,7.093,25.79598405,17.14166667,35.60833333,12.01666667,2.845200039,0.961873449,-0.811191519,-1.145156465,-1.273585117,0.193294923,-0.808837338,0.306504556
ES0011R_2018,ES0011R,2018,112.667,92.88,-6.9236,38.4728,393,157680.8446,4265573.795,4.724436565,14.135,6.6,25.65067013,16.30833333,59.53333333,11.90833333,2.648653991,0.581547235,-0.068693356,-1.145156465,-1.273585117,0.193294923,-0.809477627,0.241555482
ES0011R_2019,ES0011R,2019,52.042,91.23,-6.9236,38.4728,393,157680.8446,4265573.795,3.952051085,13.787,6.282,25.54883028,16.66666667,31.18333333,11.85,2.623726119,0.745087509,-0.948518765,-1.145156465,-1.273585117,0.193294923,-0.809926358,0.206582907
ES0011R_2020,ES0011R,2020,100.25,82.51,-6.9236,38.4728,393,157680.8446,4265573.795,4.607667066,14.774,9.339,25.45972042,16.925,44.54166667,12.25,2.692868879,0.862988633,-0.533950825,-1.145156465,-1.273585117,0.193294923,-0.810318998,0.44639486
ES0012R_2017,ES0012R,2017,48.333,96.71,-1.1011,39.0828,885,664243.5016,4327681.269,3.878114557,11.818,5.485,212.457966,16.83333333,29.28333333,12.44166667,2.469623793,0.821152748,-1.007484137,0.817590942,-0.978839594,1.72231844,0.013640795,0.561304757
ES0012R_2018,ES0012R,2018,32.75,97.81,-1.1011,39.0828,885,664243.5016,4327681.269,3.488902962,9.728,4.8,213.313266,16.16666667,52.39166667,12.18333333,2.275008325,0.516891782,-0.290330738,0.817590942,-0.978839594,1.72231844,0.017409455,0.4064262
ES0012R_2019,ES0012R,2019,44.667,98.36,-1.1011,39.0828,885,664243.5016,4327681.269,3.799234974,10.27,4.688,215.1004085,16.46666667,36.29166667,12.14166667,2.329227024,0.653809218,-0.789984675,0.817590942,-0.978839594,1.72231844,0.02528404,0.381445792
ES0012R_2020,ES0012R,2020,117.167,84.15,-1.1011,39.0828,885,664243.5016,4327681.269,4.763600268,11.821,5.582,216.6497527,16.825,42.48333333,12.49166667,2.469877611,0.817349487,-0.597829978,0.817590942,-0.978839594,1.72231844,0.032110828,0.591281251
ES0013R_2017,ES0013R,2017,73.042,93.97,-5.8975,41.2389,985,257184.0771,4569326.93,4.291034618,9.897,5.088,91.52228309,13.25833333,26.88333333,9.283333333,2.292231681,-0.810446697,-1.081966711,-0.799261211,0.062965033,2.033095577,-0.519231264,-1.332210459
ES0013R_2018,ES0013R,2018,64.875,88.77,-5.8975,41.2389,985,257184.0771,4569326.93,4.172462341,8.074,4.271,91.35727328,12.7,48.55833333,9.35,2.088649022,-1.065265257,-0.409295961,-0.799261211,0.062965033,2.033095577,-0.519958338,-1.2922418
ES0013R_2019,ES0013R,2019,37.375,95.62,-5.8975,41.2389,985,257184.0771,4569326.93,3.621002032,7.089,3.833,91.3478055,12.95833333,33.38333333,9.191666667,1.958544287,-0.947364133,-0.880243072,-0.799261211,0.062965033,2.033095577,-0.520000055,-1.387167364
ES0013R_2020,ES0013R,2020,48.042,79.23,-5.8975,41.2389,985,257184.0771,4569326.93,3.872075628,7.641,3.879,91.01092176,13.24166667,38.275,9.316666667,2.033528485,-0.818053218,-0.728433103,-0.799261211,0.062965033,2.033095577,-0.521484447,-1.312226129
ES0014R_2017,ES0014R,2017,39.792,96.44,0.7347,41.3939,470,812244.7302,4589219.326,3.683665887,12.014,7.081,232.4531357,16,37.54166667,11.21666667,2.486072636,0.440826538,-0.751191667,1.436433654,0.137859387,0.432593319,0.10174438,-0.17311935
ES0014R_2018,ES0014R,2018,46.875,96.71,0.7347,41.3939,470,812244.7302,4589219.326,3.847484484,11.621,6.714,234.4015071,16.10833333,61.28333333,11.30833333,2.452813806,0.490268944,-0.014383145,1.436433654,0.137859387,0.432593319,0.110329379,-0.118162448
ES0014R_2019,ES0014R,2019,106,95.07,0.7347,41.3939,470,812244.7302,4589219.326,4.663439094,12.53,7.559,236.9493056,16.1,43.00833333,11.14166667,2.528125769,0.486465684,-0.581536915,1.436433654,0.137859387,0.432593319,0.1215556,-0.218084091
ES0014R_2020,ES0014R,2020,94.833,81.42,0.7347,41.3939,470,812244.7302,4589219.326,4.55211745,12.657,6.011,238.5813041,16.26666667,50.7,11.25833333,2.538210422,0.562530928,-0.342830609,1.436433654,0.137859387,0.432593319,0.128746582,-0.148138942
ES0016R_2017,ES0016R,2017,151.625,92.33,-7.7047,42.6347,506,114227.6065,4730990.472,5.021410367,11.545,9.654,91.52228309,12.75833333,77.48333333,10.325,2.446252443,-1.038642424,0.488374231,-1.408462948,0.737400772,0.544473089,-0.519231264,-0.707700164
ES0016R_2018,ES0016R,2018,40.292,85.21,-7.7047,42.6347,506,114227.6065,4730990.472,3.696152938,9.723,7.901,91.35727328,12.31666667,124.3083333,10.39166667,2.274494213,-1.240215313,1.941560291,-1.408462948,0.737400772,0.544473089,-0.519958338,-0.667731503
ES0016R_2019,ES0016R,2019,48.833,87.95,-7.7047,42.6347,506,114227.6065,4730990.472,3.888406314,9.181,6.281,91.3478055,12.525,113.0333333,10.2,2.217136131,-1.145133761,1.591647363,-1.408462948,0.737400772,0.544473089,-0.520000055,-0.782641399
ES0016R_2020,ES0016R,2020,73.125,78.96,-7.7047,42.6347,506,114227.6065,4730990.472,4.292170306,9.407,6.238,91.28727937,12.93333333,104.2333333,10.35833333,2.241454093,-0.95877392,1.318544591,-1.408462948,0.737400772,0.544473089,-0.520266748,-0.687715837
ES0017R_2017,ES0017R,2017,82.542,92.05,-6.5553,37.0519,35,183822.4833,4106544.888,4.413307255,18.404,NA,96.36453225,19.45833333,31.06666667,14.45,2.912568032,2.019180313,-0.952139446,-1.021003632,-1.96014891,-0.919287229,-0.497895136,1.765360602
ES0017R_2018,ES0017R,2018,43.708,91.23,-6.5553,37.0519,35,183822.4833,4106544.888,3.777531152,15.288,NA,96.47006921,18.56666667,52.4,14.3,2.727068207,1.61223127,-0.290072118,-1.021003632,-1.96014891,-0.919287229,-0.497430114,1.67543112
ES0017R_2019,ES0017R,2019,51.292,95.34,-6.5553,37.0519,35,183822.4833,4106544.888,3.937534795,15.65,NA,96.85955906,18.95,24.90833333,14.24166667,2.750470917,1.787181325,-1.143259663,-1.021003632,-1.96014891,-0.919287229,-0.495713927,1.640458546
ES0017R_2020,ES0017R,2020,52.875,82.24,-6.5553,37.0519,35,183822.4833,4106544.888,3.967930637,16.088,NA,97.28823853,19.18333333,37.66666667,14.675,2.778073652,1.893672663,-0.747312366,-1.021003632,-1.96014891,-0.919287229,-0.493825061,1.900254826
ES0041A_2017,ES0041A,2017,43.042,95.89,-2.9457,43.2588,32,504407.2828,4789556.179,3.762176383,19.988,NA,299.8479403,14.225,82.86666667,11.55833333,2.995132093,-0.369268291,0.655442784,0.195781776,1.038959266,-0.928610544,0.398702296,0.031720023
ES0041A_2018,ES0041A,2018,50.917,97.26,-2.9457,43.2588,32,504407.2828,4789556.179,3.930196856,20.368,NA,300.5764446,14.19166667,115.5333333,11.675,3.013965042,-0.384481338,1.669233378,0.195781776,1.038959266,-0.928610544,0.401912263,0.101665178
ES0041A_2019,ES0041A,2019,52.458,95.07,-2.9457,43.2588,32,504407.2828,4789556.179,3.960012849,19.263,NA,301.8399226,14.25,104.4333333,11.34166667,2.958186157,-0.357858505,1.324751472,0.195781776,1.038959266,-0.928610544,0.407479455,-0.098178114
ES0041A_2020,ES0041A,2020,83.5,82.51,-2.9457,43.2588,32,504407.2828,4789556.179,4.424846632,15.633,8.777,302.3942494,14.58333333,100.1416667,11.6,2.749384065,-0.205728022,1.191562148,0.195781776,1.038959266,-0.928610544,0.409921954,0.056700437
ES0041A_2021,ES0041A,2021,74.542,87.4,-2.9457,43.2588,32,504407.2828,4789556.179,4.311362725,16.876,10.898,300.9774675,13.78333333,99.35833333,11.31666667,2.825892494,-0.570841184,1.167251862,0.195781776,1.038959266,-0.928610544,0.403679268,-0.113166362
ES0094A_2017,ES0094A,2017,114.375,94.79,-7.9886,43.4054,478,96042.08844,4817935.38,4.739482524,9.773,9.825,91.52228309,12.54166667,78.28333333,10.85,2.279623481,-1.137527236,0.513201756,-1.504164793,1.109794829,0.45745549,-0.519231264,-0.392946975
ES0094A_2018,ES0094A,2018,37.825,98.08,-7.9886,43.4054,478,96042.08844,4817935.38,3.63297026,8.74,9.416,91.35727328,12.13333333,123.7583333,10.89166667,2.16791019,-1.323887082,1.924491367,-1.504164793,1.109794829,0.45745549,-0.519958338,-0.367966562
