group,id,year,value,coverage,x,y,log,mean,PM2.5mean,popdensity,T,P,VP,long,lat,alt,longs,lats,alts,Ps,Ts,pds,VPs
NA,ES0013R,2021,NA,NA,257184.0771,4569326.93,NA,NA,NA,11.8,12.925,39.525,9.166666667,-5.8975,41.2389,985,-0.799261083,0.062964405,2.033095589,-0.689640094,-0.962574997,0.974494461,-1.402158147
NA,ES0365A,2021,NA,NA,350351.996,4729519.548,NA,NA,NA,11.8,9.766666667,74.95833333,8.316666667,-4.8272,42.7036,1050,-0.438466141,0.77069186,2.235100723,0.410012424,-2.40401101,0.974494461,-1.911758416
NA,ES0373A,2021,NA,NA,211273.8589,4725251.158,NA,NA,NA,11.8,11.03333333,87.65833333,9.066666667,-6.5208,42.6256,720,-1.009373657,0.73300309,1.209536196,0.804149404,-1.825915302,0.974494461,-1.46211112
NA,ES0761A,2021,NA,NA,283912.0374,4732610.374,NA,NA,NA,11.8,10.33333333,73.51666667,8.25,-5.6389,42.7156,900,-0.712087794,0.776490132,1.768935029,0.365271153,-2.145389247,0.974494461,-1.951727065
ES1160A_2021,ES1160A,2021,114.792,100,444356.6534,4688947.349,4.743121795,13.233,NA,11.8,11.375,47.51666667,9.158333333,-3.6756,42.3508,929,-0.050265211,0.600222654,1.859060396,-0.441623451,-1.669981589,0.974494461,-1.407154228
ES1161A_2021,ES1161A,2021,97,99.73,287765.9363,4720074.896,4.574710979,17.185,8.734,11.8,10.33333333,73.51666667,8.25,-5.5872,42.6039,838,-0.694659878,0.72251788,1.576253209,0.365271153,-2.145389247,0.974494461,-1.951727065
ES1162A_2021,ES1162A,2021,116.667,100,340199.7979,4575639.552,4.759323723,16.995,7.307,11.8,13.275,34.40833333,8.866666667,-4.9092,41.3164,721,-0.466108097,0.100411581,1.212643968,-0.848432814,-0.802838024,0.974494461,-1.582017066
NA,ES1163A,2021,NA,NA,506758.7527,4725772.221,NA,NA,NA,11.8,12.4,66.53333333,9.925,-2.9175,42.6844,471,0.205288041,0.761414624,0.435701144,0.148547538,-1.202180455,0.974494461,-0.947514769
ES1287A_2021,ES1287A,2021,68.958,100,349460.2754,4739726.841,4.233497624,12.946,NA,11.8,9.766666667,74.95833333,8.316666667,-4.8408,42.7953,1120,-0.443050661,0.815000324,2.452644713,0.410012424,-2.40401101,0.974494461,-1.911758416
ES1297A_2021,ES1297A,2021,91.625,99.18,285466.2206,4742255.125,4.51770416,13.519,NA,11.8,10.33333333,73.51666667,8.25,-5.6236,42.8028,945,-0.706930209,0.818624244,1.908784737,0.365271153,-2.145389247,0.974494461,-1.951727065
ES1346A_2021,ES1346A,2021,120.792,96.99,504866.0131,4726181.489,4.794070058,14.654,NA,11.8,12.4,66.53333333,9.925,-2.9406,42.6881,471,0.1975011,0.763202424,0.435701144,0.148547538,-1.202180455,0.974494461,-0.947514769
ES1443A_2021,ES1443A,2021,92.542,95.34,447597.7344,4687290.029,4.527662596,12.122,5.381,11.8,11.375,47.51666667,9.158333333,-3.6361,42.3361,929,-0.036949879,0.59311977,1.859060396,-0.441623451,-1.669981589,0.974494461,-1.407154228
ES1591A_2021,ES1591A,2021,74.833,91.51,194149.2194,4718530.392,4.315258964,14.954,NA,11.8,11.03333333,87.65833333,9.066666667,-6.7256,42.5586,450,-1.078411127,0.700629402,0.370437947,0.804149404,-1.825915302,0.974494461,-1.46211112
ES1618A_2021,ES1618A,2021,107.708,99.45,275762.2696,4539869.694,4.679423862,11.394,NA,11.8,12.68333333,46.025,9.625,-5.6653,40.9792,797,-0.720987155,-0.062519871,1.448834586,-0.487916443,-1.072869574,0.974494461,-1.127373688
ES1631A_2021,ES1631A,2021,106.667,96.99,355905.6966,4611874.905,4.669711832,16.956,13.425,11.8,12.80833333,34.80833333,8.975,-4.7303,41.6456,700,-0.40580144,0.259477518,1.14738077,-0.836019051,-1.015820656,0.974494461,-1.517068012
ES1632A_2021,ES1632A,2021,104.458,98.36,354483.6679,4609126.756,4.648785077,15.786,NA,11.8,12.80833333,34.80833333,8.975,-4.7467,41.6206,690,-0.411329831,0.247397784,1.116303057,-0.836019051,-1.015820656,0.974494461,-1.517068012
ES1636A_2021,ES1636A,2021,123.792,95.89,355629.342,4613046.725,4.818602738,19.911,10.339,11.8,12.80833333,34.80833333,8.975,-4.7339,41.6561,691,-0.407014989,0.264551006,1.119410829,-0.836019051,-1.015820656,0.974494461,-1.517068012
