long,lat,alt,x,y,pre_value,meanTem,meanPre,popdensity,mean
-4.983333333,43.15,1401.08,338733.434,4779381.572,121.4455183,12.07,648.16,11.8,14.11978261
-3.65,43.15,1049.37,447148.5563,4777677.294,91.58285472,12.07,648.16,11.8,14.11978261
-3.316666667,43.15,494.1275,474251.8887,4777520.923,44.81156886,12.07,648.16,11.8,14.11978261
-6.316666667,42.98333333,1464.9325,229580.0711,4764303.345,127.3988949,12.07,648.16,11.8,14.11978261
-6.15,42.98333333,1580.6675,243170.015,4763779.916,136.9368101,12.07,648.16,11.8,14.11978261
-5.983333333,42.98333333,1503.8425,256759.8049,4763283.527,130.2668411,12.07,648.16,11.8,14.11978261
-5.65,42.98333333,1485.7675,283938.9545,4762371.831,128.4688529,12.07,648.16,11.8,14.11978261
-5.483333333,42.98333333,1520.4825,297528.33,4761956.508,131.4082912,12.07,648.16,11.8,14.11978261
-5.316666667,42.98333333,1381.48,311117.5832,4761568.189,119.753968,12.07,648.16,11.8,14.11978261
-5.15,42.98333333,1390.12,324706.7222,4761206.869,120.5207333,12.07,648.16,11.8,14.11978261
-4.983333333,42.98333333,1329.0775,338295.755,4760872.54,115.427347,12.07,648.16,11.8,14.11978261
-4.816666667,42.98333333,1605.5025,351884.6896,4760565.196,138.7119342,12.07,648.16,11.8,14.11978261
-4.65,42.98333333,1598.655,365473.5344,4760284.831,138.159339,12.07,648.16,11.8,14.11978261
-4.483333333,42.98333333,1298.82,379062.2973,4760031.44,112.8843085,12.07,648.16,11.8,14.11978261
-3.816666667,42.98333333,881.7325,433416.6949,4759287.528,77.57136778,12.07,648.16,11.8,14.11978261
-3.65,42.98333333,781.92,447005.172,4759168.945,69.107962,12.07,648.16,11.8,14.11978261
-3.483333333,42.98333333,688.9575,460593.6167,4759077.316,61.23001554,12.07,648.16,11.8,14.11978261
-3.316666667,42.98333333,767.9,474182.0374,4759012.637,67.83952427,12.07,648.16,11.8,14.11978261
-3.15,42.98333333,774.1375,487770.4423,4758974.908,68.32776433,12.07,648.16,11.8,14.11978261
-6.816666667,42.81666667,1294.74,187968.6147,4747525.203,113.4737818,12.07,648.16,11.8,14.11978261
-6.65,42.81666667,1065.3725,201595.8887,4746920.85,94.16206499,12.07,648.16,11.8,14.11978261
-6.483333333,42.81666667,1190.71,215222.9704,4746343.557,104.615151,12.07,648.16,11.8,14.11978261
-6.316666667,42.81666667,1540.865,228849.8682,4745793.313,133.8703084,12.07,648.16,11.8,14.11978261
-6.15,42.81666667,1469.5025,242476.5905,4745270.108,127.6636921,12.07,648.16,11.8,14.11978261
-5.983333333,42.81666667,1316.575,256103.1458,4744773.932,114.5933931,12.07,648.16,11.8,14.11978261
-5.816666667,42.81666667,1245.11,269729.5426,4744304.775,108.4208615,12.07,648.16,11.8,14.11978261
-5.65,42.81666667,1175.96,283355.7894,4743862.628,102.49336,12.07,648.16,11.8,14.11978261
-5.483333333,42.81666667,1128.9875,296981.895,4743447.483,98.55706379,12.07,648.16,11.8,14.11978261
-5.316666667,42.81666667,1111.875,310607.868,4743059.332,97.15283685,12.07,648.16,11.8,14.11978261
-5.15,42.81666667,1165.48,324233.7171,4742698.168,101.6992767,12.07,648.16,11.8,14.11978261
-4.983333333,42.81666667,1173.2925,337859.4511,4742363.984,102.4164634,12.07,648.16,11.8,14.11978261
-4.816666667,42.81666667,1308.2275,351485.0787,4742056.774,113.8216431,12.07,648.16,11.8,14.11978261
-4.65,42.81666667,1241.285,365110.6088,4741776.531,108.1578882,12.07,648.16,11.8,14.11978261
-4.483333333,42.81666667,1086.8225,378736.0502,4741523.25,95.12323177,12.07,648.16,11.8,14.11978261
-4.316666667,42.81666667,999.2425,392361.4118,4741296.927,87.68916147,12.07,648.16,11.8,14.11978261
-3.65,42.81666667,915.91,446862.2387,4740661.131,80.45234048,12.07,648.16,11.8,14.11978261
-3.483333333,42.81666667,771.3125,460487.3353,4740569.541,68.22809532,12.07,648.16,11.8,14.11978261
-3.316666667,42.81666667,696.815,474112.4057,4740504.89,61.89030955,12.07,648.16,11.8,14.11978261
-3.15,42.81666667,772.83,487737.4591,4740467.178,68.24129371,12.07,648.16,11.8,14.11978261
-6.983333333,42.65,1034.21,173466.4419,4729645.871,91.62430001,12.07,648.16,11.8,14.11978261
